INFO 2019-11-07 11:41:09,371 basehttp 154 "GET /static/images/b04.jpg HTTP/1.1" 200 17515
INFO 2019-11-07 11:41:09,537 basehttp 154 "GET /static/images/newsbg02.png HTTP/1.1" 200 1418
INFO 2019-11-07 11:41:09,538 basehttp 154 "GET /static/images/newsbg01.png HTTP/1.1" 200 1243
INFO 2019-11-07 11:41:09,540 basehttp 154 "GET /static/images/newsbg04.png HTTP/1.1" 200 1298
INFO 2019-11-07 11:41:09,543 basehttp 154 "GET /static/images/like.jpg HTTP/1.1" 200 1430
INFO 2019-11-07 13:13:08,411 basehttp 154 "GET /admin/ HTTP/1.1" 200 5799
INFO 2019-11-07 13:13:11,992 basehttp 154 "GET /admin/ HTTP/1.1" 200 5799
INFO 2019-11-07 13:13:15,087 basehttp 154 "GET /admin/blog/article/add/ HTTP/1.1" 200 9450
INFO 2019-11-07 13:13:15,112 basehttp 154 "GET /static/ueditor/ueditor.config.js HTTP/1.1" 200 19826
INFO 2019-11-07 13:13:15,118 basehttp 154 "GET /static/ueditor/ueditor.all.min.js HTTP/1.1" 200 367806
INFO 2019-11-07 13:13:15,129 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-11-07 13:13:15,250 basehttp 154 "GET /static/ueditor/lang/zh-cn/zh-cn.js HTTP/1.1" 200 30020
INFO 2019-11-07 13:13:15,251 basehttp 154 "GET /static/ueditor/themes/default/css/ueditor.css HTTP/1.1" 200 43760
WARNING 2019-11-07 13:13:15,317 log 228 Not Found: /ueditor/controller/
WARNING 2019-11-07 13:13:15,320 basehttp 154 "GET /ueditor/controller/?imageMaxSize=1204000&imagePathFormat=images%2F&filePathFormat=files%2F&action=config&&noCache=1573103595295 HTTP/1.1" 404 2353
INFO 2019-11-07 13:13:15,467 basehttp 154 "GET /static/ueditor/themes/default/images/icons.png HTTP/1.1" 200 19694
INFO 2019-11-07 13:13:15,477 basehttp 154 "GET /static/ueditor/themes/default/images/charts.png HTTP/1.1" 200 518
INFO 2019-11-07 13:13:15,478 basehttp 154 "GET /static/ueditor/themes/default/images/scale.png HTTP/1.1" 200 167
INFO 2019-11-07 13:13:15,487 basehttp 154 "GET /static/ueditor/themes/iframe.css HTTP/1.1" 200 41
INFO 2019-11-07 13:13:15,566 basehttp 154 "GET /static/ueditor/third-party/codemirror/codemirror.css HTTP/1.1" 200 2888
INFO 2019-11-07 13:13:15,569 basehttp 154 "GET /static/ueditor/third-party/codemirror/codemirror.js HTTP/1.1" 200 158605
INFO 2019-11-07 13:13:15,594 basehttp 154 "GET /static/ueditor/third-party/zeroclipboard/ZeroClipboard.js HTTP/1.1" 200 43216
INFO 2019-11-07 13:13:15,640 basehttp 154 "GET /static/ueditor/third-party/zeroclipboard/ZeroClipboard.swf?noCache=1573103595607 HTTP/1.1" 200 3933
INFO 2019-11-07 13:13:34,486 basehttp 154 "GET /static/ueditor/themes/default/images/icons-all.gif HTTP/1.1" 200 3750
INFO 2019-11-07 13:13:34,487 basehttp 154 "GET /static/ueditor/themes/default/images/dialog-title-bg.png HTTP/1.1" 200 938
INFO 2019-11-07 13:13:34,497 basehttp 154 "GET /static/ueditor/dialogs/image/image.html HTTP/1.1" 200 5608
INFO 2019-11-07 13:13:34,543 basehttp 154 "GET /static/ueditor/dialogs/internal.js HTTP/1.1" 200 2682
INFO 2019-11-07 13:13:34,545 basehttp 154 "GET /static/ueditor/third-party/webuploader/webuploader.min.js HTTP/1.1" 200 58276
INFO 2019-11-07 13:13:34,545 basehttp 154 "GET /static/ueditor/third-party/jquery-1.10.2.min.js HTTP/1.1" 200 93107
INFO 2019-11-07 13:13:34,563 basehttp 154 "GET /static/ueditor/third-party/webuploader/webuploader.css HTTP/1.1" 200 515
INFO 2019-11-07 13:13:34,571 basehttp 154 "GET /static/ueditor/dialogs/image/image.css HTTP/1.1" 200 19026
INFO 2019-11-07 13:13:34,586 basehttp 154 "GET /static/ueditor/dialogs/image/image.js HTTP/1.1" 200 128869
INFO 2019-11-07 13:13:34,690 basehttp 154 "GET /static/ueditor/themes/default/dialogbase.css?cache=0.05778950487475498 HTTP/1.1" 200 1685
INFO 2019-11-07 13:13:34,773 basehttp 154 "GET /static/ueditor/dialogs/image/images/image.png HTTP/1.1" 200 1672
INFO 2019-11-07 13:13:34,773 basehttp 154 "GET /static/ueditor/dialogs/image/images/alignicon.jpg HTTP/1.1" 200 16101
INFO 2019-11-07 13:40:52,960 basehttp 154 "GET /admin/blog/article/add/ HTTP/1.1" 200 9450
INFO 2019-11-07 13:40:52,996 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
WARNING 2019-11-07 13:40:53,208 log 228 Not Found: /ueditor/controller/
WARNING 2019-11-07 13:40:53,209 basehttp 154 "GET /ueditor/controller/?imageMaxSize=1204000&imagePathFormat=images%2F&filePathFormat=files%2F&action=config&&noCache=1573105253199 HTTP/1.1" 404 2480
INFO 2019-11-07 13:40:53,423 basehttp 154 "GET /static/ueditor/third-party/zeroclipboard/ZeroClipboard.swf?noCache=1573105253396 HTTP/1.1" 200 3933
INFO 2019-11-07 13:41:10,770 basehttp 154 "GET /static/ueditor/themes/default/dialogbase.css?cache=0.14041600717376967 HTTP/1.1" 200 1685
INFO 2019-11-07 13:41:12,672 basehttp 154 "GET /static/ueditor/themes/default/images/lock.gif HTTP/1.1" 200 1062
WARNING 2019-11-07 13:41:14,915 log 228 Not Found: /ueditor/controller/
